m,n,numRoombas,tiempo,porcentaje
3.0,3.0,1.0,8.046543836593628,
3.0,3.0,2.0,4.040914058685303,
3.0,3.0,3.0,4.049263000488281,
4.0,4.0,1.0,15.073791027069092,
4.0,4.0,2.0,8.054973125457764,
4.0,4.0,3.0,7.057369232177734,
5.0,5.0,1.0,25.094202041625977,
5.0,5.0,2.0,13.067445039749146,
5.0,5.0,3.0,11.0813889503479,
3.0,3.0,1.0,5.031219959259033,
3.0,3.0,2.0,4.036143064498901,
3.0,3.0,3.0,4.054527997970581,
4.0,4.0,1.0,15.068304777145386,
4.0,4.0,2.0,8.050819873809814,
4.0,4.0,3.0,7.060585021972656,
5.0,5.0,1.0,22.083989143371586,
5.0,5.0,2.0,12.067280054092407,
5.0,5.0,3.0,11.070404052734377,
3.0,3.0,1.0,9.041017055511476,
3.0,3.0,2.0,4.039114952087402,
3.0,3.0,3.0,3.0475969314575195,
4.0,4.0,1.0,13.065184116363524,
4.0,4.0,2.0,8.057139158248901,
4.0,4.0,3.0,6.062496900558472,
5.0,5.0,1.0,25.08854913711548,
5.0,5.0,2.0,13.074361085891724,
5.0,5.0,3.0,11.07935094833374,
3.0,3.0,1.0,8.041563749313354,
3.0,3.0,2.0,4.039332151412964,
3.0,3.0,3.0,2.042164087295532,
4.0,4.0,1.0,16.079224824905396,
4.0,4.0,2.0,8.055359840393066,
4.0,4.0,3.0,6.059139251708984,
5.0,5.0,1.0,23.11707901954651,
5.0,5.0,2.0,12.074719905853271,
5.0,5.0,3.0,11.07390594482422,
3.0,3.0,1.0,9.040930032730104,
3.0,3.0,2.0,5.03959584236145,
3.0,3.0,3.0,4.056641101837158,
4.0,4.0,1.0,15.078915119171144,
4.0,4.0,2.0,8.062345027923584,
4.0,4.0,3.0,7.057729005813599,
5.0,5.0,1.0,22.102556943893433,
5.0,5.0,2.0,12.054717302322388,
5.0,5.0,3.0,10.076366186141968,
3.0,3.0,1.0,8.054049968719482,
3.0,3.0,2.0,5.043618202209473,
3.0,3.0,3.0,2.045868158340454,
4.0,4.0,1.0,16.084072828292847,
4.0,4.0,2.0,8.048723936080933,
4.0,4.0,3.0,5.054292917251587,
5.0,5.0,1.0,25.087078094482425,
5.0,5.0,2.0,13.076199293136597,
5.0,5.0,3.0,11.070334911346436,
3.0,3.0,1.0,7.037473678588867,
3.0,3.0,2.0,4.039103031158447,
3.0,3.0,3.0,4.052222967147827,
4.0,4.0,1.0,16.070531129837036,
4.0,4.0,2.0,8.052021741867065,
4.0,4.0,3.0,7.056538105010986,
5.0,5.0,1.0,24.112741947174072,
5.0,5.0,2.0,13.064767122268677,
5.0,5.0,3.0,11.073625802993774,
3.0,3.0,1.0,9.05346417427063,100.0
3.0,3.0,2.0,3.03987193107605,71.42857142857143
3.0,3.0,3.0,3.0459039211273193,100.0
4.0,4.0,1.0,16.077096939086914,100.0
4.0,4.0,2.0,8.051684141159058,100.0
4.0,4.0,3.0,7.069398880004883,100.0
5.0,5.0,1.0,24.094233751296997,100.0
5.0,5.0,2.0,13.073415994644163,100.0
5.0,5.0,3.0,11.087193012237549,100.0
3.0,3.0,1.0,8.04275107383728,100.0
3.0,3.0,2.0,4.039031028747559,85.71428571428571
3.0,3.0,3.0,4.052786827087402,100.0
4.0,4.0,1.0,14.056683778762817,93.33333333333333
4.0,4.0,2.0,8.046212911605835,100.0
4.0,4.0,3.0,7.048892021179199,100.0
5.0,5.0,1.0,23.109132051467896,95.83333333333334
5.0,5.0,2.0,12.070406913757324,100.0
5.0,5.0,3.0,11.08298397064209,100.0
